題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
n2015, 生成式AI在藝術與設計領域的應用趨勢為何？,AI完全取代藝術家和設計師,創作者將AI作為輔助工具，專注於構思與創意,AI僅用於複製現有藝術作品,藝術創作完全依賴AI自主生成,2, 創作者將AI作為輔助工具，專注於構思與創意
n2016, 生成式AI在醫療與生物科技領域的應用，不包括下列哪一項？,藥物開發,醫學影像分析,個人化醫療,自動化倉儲管理,4, 自動化倉儲管理
n2017, 在教育與培訓領域，生成式AI如何提升學習體驗？,自動化教材生成與個人化學習路徑,僅限於教師作業批改,取代所有人類教師,僅提供遊戲娛樂,1, 自動化教材生成與個人化學習路徑
n2018, 在產品設計與製造業中，生成式AI如何加速創新設計？,僅透過人工智慧生成產品效能模擬報告,根據功能需求與使用者行為生成產品設計草圖,僅用於供應鏈管理,自動化生產線流程,2, 根據功能需求與使用者行為生成產品設計草圖
n2019, 在生成式AI的風險管理中，下列哪一項屬於倫理風險？,系統運行中斷導致企業業務影響,AI生成的內容可能帶有偏見或歧視,因資料需求增加而引起的存儲成本上升,員工培訓成本增加,2, AI生成的內容可能帶有偏見或歧視
n2020, 企業導入生成式AI時，首先需明確自身需求與業務痛點，此評估階段稱為？,資源與基礎設施評估,需求與現狀評估,策略制定與階段性擴展,風險評估與管理,2, 需求與現狀評估
n2021, 成功導入生成式AI，依賴企業內部資源的整合與技術基礎建設的完善，下列何者屬於資源與基礎設施評估的重點？,市場評價與案例,總擁有成本（TCO）與投資回報率（ROI）,技術人才、數據品質與硬體系統架構,用戶社群活躍度與技術支援,3, 技術人才、數據品質與硬體系統架構
n2022, 企業在導入AI時，若選擇具代表性的業務單位進行小規模測試，驗證技術可行性，此策略稱為？,全面導入,試點應用（Pilot First）,快速擴展,技術替代,2, 試點應用（Pilot First）
n2023, 生成式AI的導入不僅是技術革新，更涉及企業文化與人才發展，下列哪項是員工技能與文化導入的關鍵？,僅限於聘請外部AI專家,降低AI技術的複雜度,技術培訓、實務操作與營造數位轉型文化,避免跨部門協作,3, 技術培訓、實務操作與營造數位轉型文化
n2024, 在AI導入風險評估中，企業應如何處理資料安全與隱私？,無需關注，交由AI系統自行處理,加強資訊安全與個資保護，符合法規要求,僅限於技術層面的風險管理,移除所有個人敏感資料,2, 加強資訊安全與個資保護，符合法規要求
n2025, 經濟部產業發展署提供了哪些協助企業導入AI的服務？,僅提供AI硬體設備,僅提供線上課程,提供顧問服務、工具服務與AI導入指引,僅提供企業內部AI模型建置,3, 提供顧問服務、工具服務與AI導入指引
n2026, 什麼是 AI 治理（AI Governance）的核心目的？,限制AI技術的發展速度,確保AI的發展和應用是以人為本、公平、安全和可信賴的,讓AI系統完全自主決策,將AI技術應用於所有領域,2, 確保AI的發展和應用是以人為本、公平、安全和可信賴的
n2027, 歐盟的《AI法案》（AI Act）採用哪一種管理原則？,全面禁止原則,風險導向原則,來源揭露原則,非監管原則,2, 風險導向原則
n2028, 歐盟AI法案中，下列哪一類用途被列為禁止性用途？,自動翻譯系統,商業性AI客服機器人,針對個人進行社會信用評分的AI系統,健康建議App,3, 針對個人進行社會信用評分的AI系統
n2029, 在《金融業運用AI指引》中，AI應用最應避免的情況為？,提升效率,削減人力,對消費者造成不公平的歧視決策,自動化客服系統使用,3, 對消費者造成不公平的歧視決策
n2030, 根據台灣AI應用原則，下列哪一項最接近核心原則？,效率優先,使用者不須知情,公平性與可解釋性,商業機密優先於透明,3, 公平性與可解釋性
n2031, 數據處理流程的正確順序為何？,清理 → 收集 → 分析 → 呈現,收集 → 清理 → 分析 → 呈現,收集 → 分析 → 清理 → 呈現,分析 → 收集 → 清理 → 呈現,2, 收集 → 清理 → 分析 → 呈現
n2032, 下列哪一項描述「強化學習」最恰當？,無需任何資料進行預測,從與環境互動中學習，透過獎勵或懲罰優化行為決策,完全依賴資料標籤,僅用於圖片辨識,2, 從與環境互動中學習，透過獎勵或懲罰優化行為決策
n2033, 「分類貓狗照片」屬於哪類機器學習？,非監督式學習,強化學習,半監督式學習,監督式學習,4, 監督式學習
n2034, AI技術依應用目的可分為哪兩大類？,資料、模型、平台,機器學習、深度學習、預測分析,鑑別式、生成式,整合式、模擬式,3, 鑑別式、生成式
n2035, 鑑別式AI的主要功能為？,模擬語音,資料生成,判斷與分類,資料整理,3, 判斷與分類
n2036, 生成式AI的主要應用不包括？,故事創作,程式碼撰寫,音樂合成,試題批改,4, 試題批改
n2037, No Code工具的使用者通常是哪一類人？,資深AI工程師,初學者與非技術背景的公民開發者,演算法研究者,系統維運人員,2, 初學者與非技術背景的公民開發者
n2038, 下列哪一項不是Low Code工具的特徵？,開發快速,需少量程式碼,高度客製化,適合中高階工程師,3, 高度客製化
n2039, 導入生成式AI前需進行哪項分析？,年齡層分析,成本效益分析,語言能力評估,員工背景調查,2, 成本效益分析
n2040, Prompt的作用為？,儲存輸出結果,控制使用者介面,引導生成式AI的輸入指令,提升硬體效率,3, 引導生成式AI的輸入指令
n2041, 若企業內部導入AI失敗，常見原因為？,硬體太新,沒有明確導入目標與規劃,員工太積極,工具太便宜,2, 沒有明確導入目標與規劃
n2042, 機器學習的核心要素是什麼？,數據、模型、損失函數,訓練集、測試集、驗證集,特徵工程、優化演算法、正則化,超參數調整、模型選擇、數據處理,1, 數據、模型、損失函數
n2043, 機器學習模型過度擬合的主要原因是什麼？,模型的複雜度不足,訓練數據樣本過多,模型過度學習數據中的雜訊,使用過於簡單的損失函數,3, 模型過度學習數據中的雜訊
n2044, 交叉驗證的主要目的是什麼？,提高模型的訓練速度,驗證數據是否線性可分,減少模型的過度擬合風險,測試模型的容錯能力,3, 減少模型的過度擬合風險
n2045, 線性迴歸模型最適合解決哪種類型的問題？,圖像分類,銷售額預測,聚類分析,遊戲策略學習,2, 銷售額預測
n2046, 神經網路與傳統機器學習模型的主要區別是什麼？,神經網路無法處理非線性數據,神經網路透過多層結構學習複雜特徵,神經網路只適用於迴歸問題,神經網路不需要大量數據支持,2, 神經網路透過多層結構學習複雜特徵
n2047, 生成對抗網路（GAN）由哪兩個主要部分組成？,編碼器和解碼器,生成器和判別器,預測器和分類器,訓練器和評估器,2, 生成器和判別器
n2048, 隨機森林（Random Forest）透過什麼方式改進單一決策樹的缺陷？,增加模型的複雜度,結合多棵決策樹並進行投票或平均,僅使用少量數據進行訓練,減少模型的解釋性,2, 結合多棵決策樹並進行投票或平均
n2049, No Code/Low Code技術的主要優勢不包括以下哪一項？,加速開發流程，降低企業開發成本,幫助非技術人員創建應用和自動化流程,完全消除對專業技術人員的需求,加速企業數位轉型並提升競爭力,3, 完全消除對專業技術人員的需求
n2050, 關於No Code平台，下列敘述何者較為準確？,已經完全取代傳統的AI開發模式,只適用於大型企業,是一種降低AI技術複雜性和開發成本的新興方法,工具都具有完全相同的功能和效能,3, 是一種降低AI技術複雜性和開發成本的新興方法
n2051, 生成式AI在金融業的應用不包括以下哪一項？,風險評估與管理,投資組合優化,自動化生成病歷,提供個人化投資建議,3, 自動化生成病歷
n2052, 下列哪一項技術方案適用於改善客戶體驗？,預測性維護工具,自然語言處理（NLP）和生成式回應模組,智慧排程系統,消費行為洞察模型,2, 自然語言處理（NLP）和生成式回應模組
n2053, 下列何者為企業導入AI技術後最直接的影響？,增加人力需求,提升生產力和效率,減少數據處理能力,降低市場競爭力,2, 提升生產力和效率
n2054, 企業若要有效支援生成式AI的運行，內部IT環境最需要具備下列何種條件？,提供更多的辦公設備，以提升員工生產力,精簡企業內部流程，以加速決策效率,擁有高效能運算資源與彈性儲存空間，以支援AI模型訓練與推理,增加部門之間的交流機會，以促進跨部門合作,3, 擁有高效能運算資源與彈性儲存空間，以支援AI模型訓練與推理
n2055, 在生成式AI導入過程中，資料安全與隱私保護的哪一方面是最重要的考量？,權限控管與合規要求,增強客服回饋（反饋）能力,資料視覺化能力,設定目標優先級,1, 權限控管與合規要求
n2056, 什麼是負責任AI（Responsible AI）？,只專注於提高AI效率,避免AI監管與法律規範,以安全、可靠、道德的方式開發AI,僅限於企業應用,3, 以安全、可靠、道德的方式開發AI
n2057, 負責任AI在經濟領域的目標是？,確保公平競爭,促進AI壟斷,降低AI的透明度,無需法律規範,1, 確保公平競爭
n2058, 如何確保AI的公平性？,確保數據多樣性,採取公平演算法,測試AI是否存在偏見,以上皆是,4, 以上皆是
n2059, AI模型可解釋性（Explainable AI）的功能不包括以下哪一項？,提供決策過程的透明度,增強模型的可理解性,完全消除AI偏差,幫助監管機構審查AI模型,3, 完全消除AI偏差
n2060, 在AI模型解釋中，「局部說明」的作用是什麼？,分析AI整體運作方式,提供單一預測的解釋,研究數據分佈,決定AI訓練數據集,2, 提供單一預測的解釋
n2061, 企業如何透過AI促進可持續發展？,優化物流路線,減少碳排放,降低資源浪費,以上皆是,4, 以上皆是
n2062, 哪些做法可以幫助AI系統減少對特定群體的歧視？,多樣化數據訓練,偏見檢測與修正,透明度與問責機制,以上皆是,4, 以上皆是
n2063, 在機器學習的過程中，通常使用哪一種資料級來評估和測試模型的整體性能和準確性？,訓練級,驗證級,測試級,學習級,3, 測試級
n2064, 在機器學習領域中，以下哪兩種演算法通常歸類為非監督式學習？,支援向量機（SVM）和決策樹,K均值（K-Means）和主成分分析（PCA）,線性迴歸和邏輯迴歸,隨機森林和梯度提升,2, K均值（K-Means）和主成分分析（PCA）
n2065, 在決策樹演算法的應用中，通常會使用哪一種指標來選擇最佳的分裂點？,準確度（Accuracy）,精確度（Precision）,召回率（Recall）,資訊增益（Information Gain）或熵（Entropy）,4, 資訊增益（Information Gain）或熵（Entropy）
n2066, 交驗驗證的技術在機器學習中主要用於什麼目的？,增加模型複雜度,加速模型訓練過程,減少過度擬合（Overfitting）的風險,提升資料收集效率,3, 減少過度擬合（Overfitting）的風險
n2067, 支援向量機（SVM）在機器學習中主要用於什麼目的？,數據降維,分類和迴歸任務,時間序列預測,自然語言生成,2, 分類和迴歸任務
n2068, 在處理高維度數據時，以下哪種方法通常用來減少特徵的數量？,線性迴歸,主成分分析（PCA）,邏輯迴歸,決策樹,2, 主成分分析（PCA）
n2069, 隨機森林演算法屬於哪種類型的演算法？,判別式學習,集成學習,強化學習,非監督式學習,2, 集成學習
n2070, L1正則化技術主要用於達成什麼目的？,增加模型複雜度,減少過度擬合，並可能將不重要特徵的權重變為零,提升模型訓練速度,增加模型的解釋性,2, 減少過度擬合，並可能將不重要特徵的權重變為零
n2071, 在強化學習領域中，主要的策略目標是什麼？,最小化模型的訓練時間,最大化累計獎勵,提高數據的準確性,減少模型的計算複雜度,2, 最大化累計獎勵
n2072, 以下哪一種神經網路縮寫是代表專門處理圖像數據的網路？,RNN,LSTM,CNN,GAN,3, CNN
n2073, 詞嵌入（Word Embedding）在自然語言處理（NLP）中的主要目的是什麼？,計算單詞的頻率,轉換詞語為向量，以捕捉語義關聯性,減少文本的長度,進行語法分析,2, 詞語轉換為向量，以捕捉語義關聯性
n2074, BERT模型在自然語言處理中主要用於什麼？,生成文本,語義分析和上下文理解,圖像識別,音樂生成,2, 語義分析和上下文理解
n2075, 情境題：某公司希望對客戶的留言進行情緒分析，判斷是正向或負向。這最適合使用哪種自然語言處理技術？,文本分類,詞嵌入,命名實體識別,機器翻譯,1, 文本分類
n2076, 在機器翻譯的應用中，以下哪一種模型被廣泛使用？,CNN,GAN,RNN，特別是LTM,VAE,3, RNN，特別是LTM
n2077, 文本分類的主要目的是什麼？,將文本翻譯成不同的語言,將文本歸類到預定義的類別,生成新的文本內容,摘要長篇文本,2, 將文本歸類到預定義的類別
n2078, LSTM模型在自然語言處理中常用於什麼樣的應用？,圖像分類,序列建模，尤其處理時間序列問題,數據降維,情感分析,2, 序列建模，尤其處理時間序列問題
n2079, TF-IDF的主要用途是什麼？,生成文本摘要,計算詞語在文本中的重要性,進行圖像分類,翻譯文本,2, 計算詞語在文本中的重要性
n2080, 評估語言模型性能常用的指標是？,準確度（Accuracy）,困惑度（Perplexity）,召回率（Recall）,F1分數（F1 Score）,2, 困惑度（Perplexity）
n2081, 以下哪一種模型用於語音識別？,SVM,K-Means,隱馬爾可夫模型（HMM）,決策樹,3, 隱馬爾可夫模型（HMM）
n2082, 生成對抗網路（GAN）在生成式AI中的應用是？,圖像分類,圖像生成,文本摘要,語音識別,2, 圖像生成
n2083, 生成模型在生成式AI中主要的目的是？,分析現有數據,分類數據,生成新的數據,預測未來趨勢,3, 生成新的數據
n2084, 在生成文本的過程中，哪一種模型最被廣泛使用？,GAN,VAE,GPT模型,RNN,3, GPT模型
n2085, 在生成式AI中，哪種技術常用於生成音樂？,CNN,RNN/LSTM,GAN,PCA,2, RNN/LSTM
n2086, 在生成對抗網路（GAN）中，判別器（Discriminator）的主要作用是什麼？,生成虛假數據,區分真實數據和生成數據,訓練生成器,儲存訓練數據,2, 區分真實數據和生成數據
n2087, 為了提高生成文本的質量，通常採用哪種方式？,資料增強,微調（Fine-tuning）預訓練模型,降低模型複雜度,減少訓練數據量,2, 微調（Fine-tuning）預訓練模型
n2088, GAN的主要挑戰之一是？,生成器學習速度過快,訓練不穩定，生成器和判別器之間平衡困難,資料量不足,計算資源消耗過低,2, 訓練不穩定，生成器和判別器之間平衡困難
n2089, GPT模型名稱的「T」代表什麼？,Transformation,Transformer,Training,Text,2, Transformer
n2090, 在處理長篇文本時，Transformer模型能夠快速捕捉關鍵字和因果關係，這是因為它具有什麼特性？,順序讀取,同時捕捉多個句子重點,只處理短文本,依賴傳統卷積網路,2, 同時捕捉多個句子重點
n2091, BERT模型被描述為Transformer的更進階形式，它能夠產生什麼樣的語句？,簡單的詞語組合,高層次、更抽象的語句,僅限於真實世界存在的數據,無意義的詞串,2, 高層次、更抽象的語句
n2092, 擴散模型（Diffusion Model）被形容為一種雕刻的過程，其生成方式是從什麼開始？,精確的形狀,一片雜亂的數據,預定義的模板,現有的圖像,2, 一片雜亂的數據
n2093, Sora作為OpenAI發展的影像型模型，它使用了哪種基礎模型來產出更具創意和天馬行空畫風的影像？,生成對抗網路（GAN）,擴散模型（Diffusion Model）,Transformer,BERT,2, 擴散模型（Diffusion Model）
n2094, 針對繁體中文語料的處理，台灣的TAIDE模型相較於ChatGPT有何優勢？,僅支援英文提問,在繁體中文語言的表現上更優化,無法理解台灣本地用語,訓練資料不包含繁體中文,2, 在繁體中文語言的表現上更優化
n2095, 在人工智慧的發展中，機器學習（Machine Learning）和深度學習（Deep Learning）與生成式AI之間的關係為何？,生成式AI是機器學習和深度學習的手段,機器學習和深度學習是生成式AI的手段,三者互不相關,深度學習是機器學習的一個目標,2, 機器學習和深度學習是生成式AI的手段
n2096, 人工智慧未來發展的方向為何？,盡量減少模型的能力,盡量減少模型的複雜性，加速訓練過程，擴大應用範圍,僅專注於取代人類工作,停止新的應用發展,2, 盡量減少模型的複雜性，加速訓練過程，擴大應用範圍
n2097, 根據國際知名預測，生成式AI預期何時能達到人類的創作能力？,2025年左右,2030年左右,2040年左右,2050年左右,2, 2030年左右
n2098, AI在知識密集型文數工作上會有很大幫助，其主要作用是什麼？,取代所有人力,將人力從重複性或低創作性工作中解放出來,增加人類工作量,獨立完成所有高創作性工作,2, 將人力從重複性或低創作性工作中解放出來
n2099, Microsoft的Copilot是哪種生成式AI的應用？,圖像生成工具,程式碼生成工具,聊天型機器人，可以問問題、翻譯、產出內容,音樂生成工具,3, 聊天型機器人，可以問問題、翻譯、產出內容
n2100, Google的AI工具Gemini在發展布局上主要與什麼功能結合？,社交媒體功能,搜尋引擎功能,硬體技術支援,個人化應用,2, 搜尋引擎功能
n2101, NVIDIA在AI領域提供的主要支持是什麼？,僅軟體開發,僅硬體支援,強大的硬體與軟體技術支援,社群平台應用,3, 強大的硬體與軟體技術支援
n2102, Meta（臉書母公司）在開發AI時，強調哪一特性？,搜尋引擎整合,個人化,高性能運算,硬體開發,2, 個人化
n2103, 生成對抗網路（GAN）的核心概念是透過什麼方式來讓整體資料趨近於最終想生成的內容？,生成器和鑑別器互不干涉,生成器和鑑別器相互競爭，不斷學習和提升,僅由生成器單方面學習,僅由鑑別器單方面學習,2, 生成器和鑑別器相互競爭，不斷學習和提升
n2104, 在AI學習的第一個階段，監督式學習（Supervised Learning）如何進行？,AI自我推導分類圖片,透過人類標記資料，讓AI理解哪些是對的、哪些是錯的,透過嘗試各種行為給予獎勵或懲罰,模擬人類大腦的多層神經元,2, 透過人類標記資料，讓AI理解哪些是對的、哪些是錯的
n2105, 半監督式學習（Semi-supervised Learning）的訓練方式有何特點？,完全依賴AI自我推導,僅使用少量標記數據,讓人類介入幫忙標記一些關鍵行為，加速AI理解原則,不需任何人工介入,3, 讓人類介入幫忙標記一些關鍵行為，加速AI理解原則
n2106, 強化學習（Reinforcement Learning）的核心原理是什麼？,透過人類標記數據,透過AI自我推導分群,透過嘗試各種行為，根據獎勵或懲罰來學習,模仿人類大腦的神經元結構,3, 透過嘗試各種行為，根據獎勵或懲罰來學習
n2107, 深度學習（Deep Learning）被認為是AI中最強大的技術，其核心思想是？,透過簡單的邏輯規則處理問題,模仿人類大腦的多層神經元結構，處理複雜問題,僅限於數據的統計分析,專注於生成新內容,2, 模仿人類大腦的多層神經元結構，處理複雜問題
n2108, GPT模型的核心概念是什麼？,只能處理數值數據,基於提出的問題給出自然的回覆，依賴大量參數作為知識庫,僅能理解上下文但無法生成文本,僅用於圖像處理,2, 基於提出的問題給出自然的回覆，依賴大量參數作為知識庫
n2109, GPT-4相較於GPT-3，其參數模型數量顯著提升，主要目的是什麼？,減少模型訓練時間,讓知識更為準確精準,降低計算資源消耗,限制模型應用範圍,2, 讓知識更為準確精準
n2110, BERT模型的一個關鍵特性是它能夠理解什麼？,文本的標點符號,文本中的上下文關係,圖像中的物件,音訊中的語調,2, 文本中的上下文關係
n2111, 多模態（Multimodal）生成式AI工具，最常見的應用是？,僅能產出文字,只能處理語音輸入,可同時產出文字、圖片或程式碼等多種類型內容,僅限於單一領域的應用,3, 可同時產出文字、圖片或程式碼等多種類型內容
n2112, Microsoft Copilot最主要的強大之處在於？,專注於程式碼生成,可整合Windows及Office工具，進行搜尋及內容整合,僅用於生成音樂,不支援網路搜尋,2, 可整合Windows及Office工具，進行搜尋及內容整合
n2113, Google Gemini的應用中，除了搜尋引擎整合，還可應用於哪種情境？,製作3D模型,在Gmail上快速生成回信草稿,駕駛自動駕駛汽車,偵測產品瑕疵,2, 在Gmail上快速生成回信草稿
n2114, X（原Twitter）發布的聊天型機器人Grok，其數據訓練來源主要為何？,專業學術論文,企業內部數據,Twitter上的社群貼文,新聞媒體報導,3, Twitter上的社群貼文
n2115, NVIDIA所開發的聊天機器人ChatRTs，其背後的核心系統是透過什麼開發的？,深度學習神經網路,強化學習系統,知識檢索系統（RAG）,生成對抗網路,3, 知識檢索系統（RAG）
n2116, 聯發科開發的「打分數」聊天機器人，其主要特點是什麼？,使用英文語言模型，處理英文更優化,使用繁體中文語言模型，處理繁中文更優化,僅用於生成圖像,不支援知識檢索,2, 使用繁體中文語言模型，處理繁中文更優化
n2117, GitHub Copilot是專注於哪方面內容的生成式AI工具？,音樂,程式碼,圖片,簡報,2, 程式碼
n2118, Suno AI的最強大功能是？,透過敘述或歌詞，生成音樂,生成程式碼,生成圖片,生成簡報,1, 透過敘述或歌詞，生成音樂
n2119, Stable Diffusion是一個開源的免費平台，其主要用途是什麼？,生成影片,生成圖片,生成音樂,生成文本,2, 生成圖片
n2120, Gamma是一種簡報生成工具，可透過提供哪些內容來自動生成簡報？,圖片和影片,段落或想生成的內容,音樂和音效,程式碼和數據庫,2, 段落或想生成的內容
n2121, 大規模生物識別系統在歐盟AI法案中被歸類為何種風險？,最小風險,有限制風險,高風險,禁止類,4, 禁止類
n2122, 「零日攻擊」（Zero-day attack）的定義是？,利用已經被發現並修補的系統漏洞進行攻擊,利用還沒有被發現或修補的系統漏洞進行攻擊,透過釣魚郵件獲取用戶資訊,利用惡意軟體感染電腦,2, 利用還沒有被發現或修補的系統漏洞進行攻擊
n2123, 在社交工程攻擊中，若你收到一封看似官方的信件或網站，要求你輸入帳戶密碼或信用卡資料，這屬於哪一種類型？,幼兒攻擊,冒充攻擊,網路釣魚,水坑攻擊,3, 網路釣魚
n2124, 什麼是機器學習（Machine Learning）的定義？,讓電腦系統透過硬編碼規則執行任務,讓電腦系統透過資料學習模式並執行任務,一種僅限於數據儲存的技術,僅用於資料視覺化,2, 讓電腦系統透過資料學習模式並執行任務
n2125, 邏輯迴歸（Logistic Regression）雖名為迴歸，但它通常應用於哪種類型的問題？,預測連續數值,二元分類（Binary Classification）,資料降維,聚類分析,2, 二元分類（Binary Classification）
n2126, 生成式AI的核心特點是什麼？,僅能分析現有數據,可生成新的資料,只能識別數據模式,只能進行數據清理,2, 可生成新的資料
n2127, 擴散模型在圖像生成方面有何特點？,生成的圖像比較寫實,生成的圖像通常較具創意和天馬行空,訓練過程較簡單,只能生成黑白圖像,2, 生成的圖像通常較具創意和天馬行空
n2128, 「AI幻覺」（AI Hallucination）指的是什麼？,AI系統的一種防禦機制,模型生成聽起來合理但事實上錯誤或虛構的資訊,用於圖像壓縮的演算法,AI應用中不常見的現象,2, 模型生成聽起來合理但事實上錯誤或虛構的資訊
n2129, AI Agent 的核心功能不包括下列哪一項？,感知功能,推理決策,發明新技術,學習與記憶,3, 發明新技術
n2130, 什麼是泛化能力（Generalization Capability）？,模型對新資料或新環境的適應能力,模型僅能處理已見過的數據,模型僅適用於特定領域,模型的訓練速度,1, 模型對新資料或新環境的適應能力
n2131, 在AI模型訓練過程中，資料清理（Data Cleaning）的主要目的是什麼？,增加資料量,移除或修正缺失值、重複值、格式錯誤與異常值，確保資料品質,修改資料庫設計,產生資料視覺化圖表,2, 移除或修正缺失值、重複值、格式錯誤與異常值，確保資料品質
n2132, 資料轉換（Data Transformation）中，「特徵標準化（Standardization）」的目的是什麼？,將數據轉換為均值為0、標準差為1的分布,增強圖像邊緣,將數據壓縮到固定範圍內,增加資料筆數,1, 將數據轉換為均值為0、標準差為1的分布
n2133, 探索性資料分析（EDA）的主要目的是什麼？,建立深度學習模型,預測未來結果,了解資料的分布與特性,清理雜訊資料,3, 了解資料的分布與特性
n2134, 資料湖（Data Lake）的主要特點是？,只儲存結構化資料,僅能用於SQL查詢,可儲存結構化、半結構化與非結構化資料,資料需經完整清理才可儲存,3, 可儲存結構化、半結構化與非結構化資料
n2135, 時間序列資料（Time Series Data）通常具有什麼特性？,沒有順序性,每筆資料為獨立事件,資料間存在時間相關性,僅限於圖像資料使用,3, 資料間存在時間相關性
n2136, 常見用於時間序列預測的模型為？,CNN,LSTM,K-Means,PCA,2, LSTM
n2137, 哪種方法最常用來填補缺失值？,將缺失值刪除,用平均值或中位數填補,加入雜訊值,不需處理缺失值,2, 用平均值或中位數填補
n2138, 資料清理過程中應避免什麼？,統一欄位命名,刪除有意義的異常值,處理缺失值,移除重複資料,2, 刪除有意義的異常值
n2139, 大數據的5V特性中，不包含下列哪一項？,Volume（量）,Velocity（速）,Vision（願景）,Variety（多樣）,3, Vision（願景）
n2140, 影像處理中，「邊緣檢測演算法」（如Canny）的主要步驟包含哪一項？,音量調整,高斯模糊,訓練語意模型,壓縮解壓縮,2, 高斯模糊
n2141, 物體偵測的任務是什麼？,對整張圖分類,建立3D模型,同時辨識圖像中物體的位置與類別,將圖像轉文字,3, 同時辨識圖像中物體的位置與類別
n2142, YOLO（You Only Look Once）是哪一類模型的代表？,語音辨識,影像分割,實時物體偵測,姿態估計,3, 實時物體偵測
n2143, 卷積神經網路（CNN）在影像分類中的角色為何？,進行文字生成,壓縮圖像大小,自動學習圖像特徵以進行分類,製作標註資料,3, 自動學習圖像特徵以進行分類
n2144, 語音識別通常會使用哪種模型？,CNN,RNN,GAN,HMM,4, HMM
n2145, 智慧文件處理中，何種技術用於從圖像中提取文字？,NLP,OCR,GAN,CNN,2, OCR
